province_name,province_code,country_code
Aceh,ID11,ID
Bali,ID51,ID
Banten,ID36,ID
Bengkulu,ID17,ID
Daerah Istimewa Yogyakarta,ID34,ID
Dki Jakarta,ID31,ID
Gorontalo,ID75,ID
Jambi,ID15,ID
Jawa Barat,ID32,ID
Jawa Tengah,ID33,ID
Jawa Timur,ID35,ID
Kalimantan Barat,ID61,ID
Kalimantan Selatan,ID63,ID
Kalimantan Tengah,ID62,ID
Kalimantan Timur,ID64,ID
Kalimantan Utara,ID65,ID
Kepulauan Bangka Belitung,ID19,ID
Kepulauan Riau,ID21,ID
Lampung,ID18,ID
Maluku,ID81,ID
Maluku Utara,ID82,ID
Nusa Tenggara Barat,ID52,ID
Nusa Tenggara Timur,ID53,ID
Papua,ID94,ID
Papua Barat,ID91,ID
Riau,ID14,ID
Sulawesi Barat,ID76,ID
Sulawesi Selatan,ID73,ID
Sulawesi Tengah,ID72,ID
Sulawesi Tenggara,ID74,ID
Sulawesi Utara,ID71,ID
Sumatera Barat,ID13,ID
Sumatera Selatan,ID16,ID
Sumatera Utara,ID12,ID
